id;madv;tendv;dienthoai;fax;email;sudung
1;mobile Fish;Home Loan Account Table Computer;5808;45924;Estella70@hotmail.com;65088
2;Tasty Metal Bacon;red Chips Soap;30424;61165;Adaline29@yahoo.com;52477
3;enable Gorgeous Frozen Pants;Common;78517;61838;Geovanni_Langworth46@gmail.com;4645
4;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music;23089;68423;Idella60@gmail.com;49517
5;Games Regional Digitized;copy convergence;20794;54671;Christine_Bartell77@yahoo.com;44975
6;e-enable Communications capacitor;Awesome;19598;52083;Victoria.Hane74@gmail.com;27134
7;generating compelling;Home Loan Account;27599;14092;Princess1@gmail.com;98688
8;index orange;Jewelery;19884;70685;Montana_Schamberger7@hotmail.com;92630
9;deposit Internal;Investment Account archive Fantastic Plastic Chicken;32518;66592;Lane88@hotmail.com;56124
10;embrace Developer;synthesize Idaho compress;49379;4043;Mercedes2@yahoo.com;43933
